INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../rx_src/receiver.cpp in debug mode
   Generating csim.exe
 0 inputs actual: 0.074133 0.163879
 1 inputs actual: 0.090721 -0.205094
 2 inputs actual: -0.000787 -0.140792
 3 inputs actual: 0.660342 0.208601
 4 inputs actual: -0.071228 -0.034844
 5 inputs actual: -0.269370 0.008746
 6 inputs actual: 0.638681 -0.013351
 7 inputs actual: 0.218027 0.307778
 8 inputs actual: -1.555382 -0.329482
 9 inputs actual: -0.817057 0.273856
 10 inputs actual: 0.225227 -0.427649
 11 inputs actual: 0.268870 -0.058308
 12 inputs actual: 1.309795 0.314093
 13 inputs actual: -1.156156 -0.372989
 14 inputs actual: -0.845631 0.093585
 15 inputs actual: 0.639837 -0.037055
 16 inputs actual: 1.258985 0.329624
 17 inputs actual: 0.292563 0.084596
 18 inputs actual: -1.588734 -0.130664
 19 inputs actual: 0.192682 -0.176536
 20 inputs actual: 1.016131 -0.143968
 21 inputs actual: -0.448249 0.138200
 22 inputs actual: 0.026724 0.176066
 23 inputs actual: 0.310866 0.082727
 24 inputs actual: -0.526703 -0.328890
 25 inputs actual: 0.259062 0.390275
 26 inputs actual: -0.239967 -0.304483
 27 inputs actual: -0.354452 0.439642
 28 inputs actual: -0.243553 0.037162
 29 inputs actual: 0.631852 -0.428281
 30 inputs actual: 0.886956 -0.067056
 31 inputs actual: -0.152108 0.419271
 32 inputs actual: 0.858182 -0.156356
 33 inputs actual: 0.108811 0.106827
 34 inputs actual: 0.429330 0.399089
 35 inputs actual: -0.990128 -0.435221
 36 inputs actual: 0.073334 0.123263
 37 inputs actual: 0.077359 0.438172
 38 inputs actual: -0.948514 -0.283089
 39 inputs actual: 0.222260 0.019913
 40 inputs actual: 0.754763 -0.003647
 41 inputs actual: 1.454038 0.151516
 42 inputs actual: 0.529511 0.028216
 43 inputs actual: -0.436555 -0.026035
 44 inputs actual: -1.056081 0.218336
 45 inputs actual: 1.190715 -0.637858
 46 inputs actual: 0.095383 0.436844
 47 inputs actual: -1.271021 0.101011
 48 inputs actual: 0.164569 -0.374924
 49 inputs actual: 0.868677 0.122642
 50 inputs actual: -0.766569 -0.001520
